OLUR_00005389 	 Q9JLI7
OLUR_00023828 	 Q08E43
OLUR_00013584 	 Q96MM6
OLUR_00016540 	 Q5XK91
OLUR_00010843 	 Q502J7
OLUR_00011852 	 P31228
OLUR_00003814 	 Q6IMK3
OLUR_00003815 	 P36508
OLUR_00001005 	 A4IIK7
OLUR_00023428 	 Q9H553
OLUR_00006176 	 Q5PQ44
OLUR_00013094 	 P06605
OLUR_00016073 	 O60683
OLUR_00006059 	 O97374
OLUR_00012463 	 A0A0R4I9Y1
OLUR_00004272 	 Q6PZ02
OLUR_00016885 	 P28203
OLUR_00021807 	 Q7YT83
OLUR_00006401 	 A6QL92
OLUR_00011351 	 B4JSC2
OLUR_00009630 	 Q9H4D0
OLUR_00018303 	 A9XE49
OLUR_00018690 	 Q5E9K0
OLUR_00006477 	 Q02357
OLUR_00017712 	 Q3U4B4
OLUR_00020368 	 P22105
OLUR_00023766 	 Q86Y13
OLUR_00002004 	 Q1EHB4
OLUR_00000234 	 Q7Z0T3
OLUR_00000239 	 Q91ZX7
OLUR_00000235 	 Q9Y5A7
OLUR_00021664 	 Q9VXN2
OLUR_00007883 	 Q9IBD8
OLUR_00011535 	 Q460N5
OLUR_00018532 	 Q6ZMW3
OLUR_00016527 	 B3EWZ6
OLUR_00019912 	 Q9N295
OLUR_00015702 	 P21213
OLUR_00005656 	 Q7Z6J6
OLUR_00000313 	 O00548
OLUR_00014029 	 Q9HYV6
OLUR_00021917 	 P54131
OLUR_00004396 	 Q9BRR8
OLUR_00012484 	 A2T7G9
OLUR_00008947 	 Q868T3
OLUR_00020008 	 Q810J8
OLUR_00015954 	 Q9UM47
OLUR_00013350 	 Q9FR44
OLUR_00000281 	 O14617
OLUR_00000283 	 O95825
OLUR_00000282 	 Q98949
OLUR_00000284 	 Q15811
OLUR_00000683 	 O60218
OLUR_00000684 	 P51857
OLUR_00000685 	 O08782
OLUR_00023241 	 Q6GLX2
OLUR_00015881 	 O43715
OLUR_00013427 	 Q5SZI1
OLUR_00022823 	 P90994
OLUR_00017362 	 P81623
OLUR_00014770 	 Q9Y6R7
OLUR_00012160 	 P11928
OLUR_00009717 	 Q9W7R4
OLUR_00007952 	 Q96Q07
OLUR_00007953 	 Q9Y600
OLUR_00006578 	 P28063
OLUR_00006579 	 P0DJ93
OLUR_00007926 	 Q6AZB8
OLUR_00007614 	 Q8UWA5
OLUR_00006792 	 O08795
OLUR_00019892 	 Q14703
OLUR_00017002 	 P24044
OLUR_00011124 	 Q53G44
OLUR_00011042 	 P12790
OLUR_00007954 	 Q8TCT0
OLUR_00001962 	 V5NAL9
OLUR_00001963 	 V5NAL9
OLUR_00001961 	 V5NAL9
OLUR_00008175 	 Q7Z442
OLUR_00004192 	 Q9WTL8
OLUR_00016068 	 P62840
OLUR_00008659 	 Q9JLC8
OLUR_00014506 	 P21520
OLUR_00024648 	 Q6INU7
OLUR_00006991 	 Q9Y6R7
OLUR_00014910 	 Q8R3R5
OLUR_00021862 	 Q99MV5
OLUR_00005598 	 Q148E0
OLUR_00022731 	 Q5R941
OLUR_00023275 	 A2AX52
OLUR_00019472 	 P96575
OLUR_00019473 	 Q0P4F7
OLUR_00005527 	 O43586
OLUR_00005528 	 O75382
OLUR_00017659 	 Q98TA4
OLUR_00013038 	 E1BBQ2
OLUR_00012735 	 O54928
OLUR_00019716 	 Q9I8C7
OLUR_00012873 	 O02467
OLUR_00001454 	 Q17043
OLUR_00001453 	 Q6IWZ0
OLUR_00006968 	 Q9NZC4
OLUR_00022012 	 Q5R1S9
OLUR_00022944 	 Q6IMN6
OLUR_00007523 	 Q91684
OLUR_00017693 	 Q8VIG6
OLUR_00008840 	 Q6RG02
OLUR_00006156 	 Q9UGM3
OLUR_00015682 	 Q6XD76
OLUR_00010156 	 Q9WVH6
OLUR_00004123 	 H2A0N4
OLUR_00011639 	 Q80YQ8
OLUR_00022318 	 P49288
OLUR_00018844 	 Q5UPX0
OLUR_00016827 	 Q4R5L5
OLUR_00019842 	 Q641F3
OLUR_00017913 	 Q5RBW7
OLUR_00017747 	 Q8WV16
OLUR_00022769 	 Q9HC36
OLUR_00003111 	 Q86SS6
OLUR_00000341 	 Q9UGM3
OLUR_00004120 	 E1BNQ4
OLUR_00021384 	 P25067
OLUR_00022885 	 P84083
OLUR_00011099 	 B1H2T2
OLUR_00022785 	 P15800
OLUR_00020003 	 Q9UGM1
OLUR_00020018 	 Q9BX70
OLUR_00022681 	 A4IGL7
OLUR_00012250 	 Q20930
OLUR_00015719 	 O02751
OLUR_00004946 	 Q9NUV9
OLUR_00004945 	 Q9NUV9
OLUR_00007939 	 G5ED84
OLUR_00014188 	 Q4VC17
OLUR_00016981 	 Q2KJI2
OLUR_00015765 	 Q3KNM2
OLUR_00009998 	 Q92008
OLUR_00015767 	 Q08DU8
OLUR_00003084 	 Q3KQ77
OLUR_00003083 	 O60551
OLUR_00012266 	 Q07912
OLUR_00019736 	 B7QDG3
OLUR_00021204 	 Q9I8C7
OLUR_00004252 	 Q5RD73
OLUR_00022120 	 Q9VLT1
OLUR_00001562 	 Q9VBP3
OLUR_00000509 	 Q9I7U4
OLUR_00000510 	 A8T6P4
OLUR_00012672 	 Q96RW7
OLUR_00019713 	 P05099
OLUR_00006808 	 B7Z0W9
OLUR_00014656 	 P11706
OLUR_00012895 	 Q9U8W7
OLUR_00012896 	 D8VNS9
OLUR_00013390 	 P04352
OLUR_00014176 	 Q61555
OLUR_00014443 	 Q17103
OLUR_00016572 	 D2GXS7
OLUR_00007280 	 Q55E58
OLUR_00015127 	 Q9NZJ5
OLUR_00017534 	 Q6VVX2
OLUR_00020258 	 P17164
OLUR_00015676 	 Q4UMH6
OLUR_00019707 	 Q759D1
OLUR_00009279 	 P51590
OLUR_00021055 	 P42519
OLUR_00016853 	 Q4V860
OLUR_00005500 	 Q3S8M4
OLUR_00004167 	 P00918
OLUR_00003937 	 Q08353
OLUR_00024423 	 Q3ULW6
OLUR_00019365 	 Q9MYM7
OLUR_00012843 	 Q9ER75
OLUR_00010018 	 Q9R0B6
OLUR_00004780 	 Q8TCT0
OLUR_00014795 	 Q08431
OLUR_00014794 	 Q0V8T3
OLUR_00016845 	 Q8AW52
OLUR_00011013 	 Q32LM4
OLUR_00005346 	 Q5XKL5
OLUR_00005347 	 Q12933
OLUR_00000298 	 Q9JM83
OLUR_00000297 	 Q09621
OLUR_00000299 	 Q09621
OLUR_00008204 	 P18106
OLUR_00003171 	 E9Q9R9
OLUR_00002696 	 Q756T5
OLUR_00002697 	 Q8TBZ3
OLUR_00002698 	 Q8VDL4
OLUR_00020891 	 Q9WVL6
OLUR_00000842 	 A0JPI9
OLUR_00013530 	 Q5EB30
OLUR_00013610 	 O01404
OLUR_00012214 	 Q8C8H8
OLUR_00017615 	 Q196X6
OLUR_00021814 	 O88397
OLUR_00005041 	 Q9CSP9
OLUR_00006191 	 Q66I59
OLUR_00022189 	 Q8BM89
OLUR_00017587 	 A2AAE1
OLUR_00002246 	 Q9PT61
OLUR_00000394 	 Q8MSU3
OLUR_00000397 	 B2RC85
OLUR_00000395 	 O88917
OLUR_00000396 	 Q8C6U2
OLUR_00010990 	 Q92620
OLUR_00023757 	 P10155
OLUR_00022963 	 O35462
OLUR_00019305 	 Q8K0U4
OLUR_00011991 	 P06867
OLUR_00014177 	 P69526
OLUR_00008277 	 Q923Z4
OLUR_00004651 	 P79136
OLUR_00004652 	 Q90XF2
OLUR_00023121 	 P30664
OLUR_00020331 	 Q6PFY8
OLUR_00006976 	 Q866A2
OLUR_00009174 	 P49619
OLUR_00000967 	 P54278
OLUR_00015524 	 P06868
OLUR_00001904 	 P56705
OLUR_00001905 	 Q9H0R3
OLUR_00023019 	 E1BP36
OLUR_00005256 	 Q13535
OLUR_00005257 	 Q7PMT1
OLUR_00020241 	 Q19673
OLUR_00003697 	 Q9Y2G1
OLUR_00010893 	 P14480
OLUR_00010894 	 Q00546
OLUR_00006529 	 Q8SPK0
OLUR_00016843 	 Q9UA35
OLUR_00004017 	 Q2KIB9
OLUR_00004016 	 Q5M8Z2
OLUR_00019382 	 P86854
OLUR_00000758 	 Q9BT23
OLUR_00016006 	 Q8IV01
OLUR_00001951 	 Q5ZI51
OLUR_00017880 	 Q8K0U4
OLUR_00021057 	 P43114
OLUR_00016801 	 Q90610
OLUR_00010330 	 Q64LC9
OLUR_00017291 	 Q9NSV4
OLUR_00008492 	 Q9WVR6
OLUR_00006162 	 Q96DM1
OLUR_00011974 	 Q5YCC5
OLUR_00015684 	 P48148
OLUR_00016930 	 O96571
OLUR_00001510 	 Q6PBD4
OLUR_00001509 	 Q6PBD4
OLUR_00014352 	 Q7L5D6
OLUR_00000339 	 Q3UTY6
OLUR_00006522 	 Q62448
OLUR_00015453 	 Q9Y312
OLUR_00007962 	 P56564
OLUR_00010010 	 P59222
OLUR_00018139 	 P55918
OLUR_00013743 	 V5NAL9
OLUR_00011046 	 Q80X72
OLUR_00005844 	 Q6DFM9
OLUR_00010686 	 A0A0R4I9Y1
OLUR_00014993 	 P15043
OLUR_00018085 	 Q8IV38
OLUR_00013613 	 Q6ZPT1
OLUR_00019177 	 Q5ZHN9
OLUR_00004391 	 Q5ZIJ9
OLUR_00004390 	 Q9W0A0
OLUR_00010120 	 Q5F4B8
OLUR_00002627 	 Q6U7I1
OLUR_00002628 	 Q28HY5
OLUR_00015792 	 Q5R9S8
OLUR_00014222 	 Q3ZBL4
OLUR_00013073 	 Q13231
OLUR_00015216 	 Q66H59
OLUR_00024167 	 Q969J3
OLUR_00023335 	 Q8R151
OLUR_00024501 	 Q00546
OLUR_00022470 	 P70428
OLUR_00002741 	 P80010
OLUR_00019204 	 Q91ZX1
OLUR_00010077 	 Q16696
OLUR_00016622 	 Q9DD03
OLUR_00001901 	 Q978J0
OLUR_00001900 	 Q9J5I3
OLUR_00021997 	 P82596
OLUR_00011824 	 Q64573
OLUR_00021649 	 Q9DCM4
OLUR_00000716 	 Q6NW96
OLUR_00000718 	 Q0VA40
OLUR_00002561 	 P06868
OLUR_00000059 	 P34371
OLUR_00000062 	 Q6DRD9
OLUR_00000055 	 P22292
OLUR_00000056 	 A5D8V6
OLUR_00000058 	 Q8SWR2
OLUR_00000061 	 Q5U316
OLUR_00005607 	 Q6DG99
OLUR_00021543 	 P02462
OLUR_00015050 	 Q9I925
OLUR_00015500 	 Q75W84
OLUR_00009408 	 Q9HC07
OLUR_00008766 	 P49326
OLUR_00008767 	 Q04799
OLUR_00023237 	 Q9QXX0
OLUR_00018238 	 Q04164
OLUR_00013505 	 Q9R087
OLUR_00011030 	 P12337
OLUR_00012256 	 Q5RBP9
OLUR_00003352 	 P86963
OLUR_00019235 	 Q13231
OLUR_00023935 	 Q6INN8
OLUR_00018223 	 Q6DIB5
OLUR_00004695 	 Q9H5Z1
OLUR_00014168 	 Q29451
OLUR_00020363 	 Q9GLK0
OLUR_00017477 	 Q5XGW6
OLUR_00009472 	 P81018
OLUR_00009473 	 O73888
OLUR_00011089 	 Q6QLW4
OLUR_00017707 	 Q5R5L7
OLUR_00000731 	 H2A0M7
OLUR_00001227 	 Q66II5
OLUR_00002214 	 P82251
OLUR_00017520 	 P83425
OLUR_00021940 	 P30885
OLUR_00017771 	 C0HK24
OLUR_00003863 	 Q5R5U1
OLUR_00003208 	 Q641Z2
OLUR_00011495 	 Q4V7T8
OLUR_00009773 	 Q9H251
OLUR_00008005 	 Q5HZH2
OLUR_00002810 	 Q08821
OLUR_00015997 	 Q9UGM3
OLUR_00004888 	 Q9VCA2
OLUR_00005077 	 Q9NZJ4
OLUR_00010382 	 P16066
OLUR_00015420 	 Q8CJ44
OLUR_00000838 	 Q24W96
OLUR_00000839 	 Q8A005
OLUR_00017723 	 Q70JS2
OLUR_00004020 	 Q3T0E5
OLUR_00021846 	 Q05470
OLUR_00022175 	 O18017
OLUR_00020499 	 Q8K4T5
OLUR_00011577 	 Q14162
OLUR_00004491 	 Q95ZJ1
OLUR_00021214 	 A6NMZ7
OLUR_00018124 	 E3VWI4
OLUR_00014415 	 Q9Y6R7
OLUR_00000226 	 Q9JHB5
OLUR_00000227 	 Q96L93
OLUR_00004325 	 Q9WTP3
OLUR_00016441 	 A0JM12
OLUR_00000273 	 Q5F4C0
OLUR_00007885 	 P22897
OLUR_00007886 	 Q9UBG0
OLUR_00002064 	 Q5I7G2
OLUR_00003508 	 P29691
OLUR_00015723 	 Q9VZZ4
OLUR_00003251 	 Q5UR46
OLUR_00005055 	 P31674
OLUR_00002704 	 Q6P635
OLUR_00002703 	 O46382
OLUR_00009512 	 P59114
OLUR_00008549 	 P48723
OLUR_00001606 	 E1BD59
OLUR_00001607 	 Q63054
OLUR_00013253 	 Q96MM6
OLUR_00015874 	 Q8AVR4
OLUR_00018841 	 A8DYE2
OLUR_00005475 	 Q5ZKF4
OLUR_00005476 	 Q5U208
OLUR_00017579 	 Q9QXA6
OLUR_00007552 	 Q7TNK1
OLUR_00004632 	 Q8NBI5
OLUR_00021392 	 Q6R5N8
OLUR_00004414 	 Q9JKW0
OLUR_00004413 	 C3Z724
OLUR_00004415 	 Q54IT3
OLUR_00021192 	 Q6PAL0
OLUR_00013962 	 Q62348
OLUR_00005853 	 Q9DBP0
OLUR_00004549 	 P20483
OLUR_00000525 	 Q8SX83
OLUR_00012200 	 O35678
OLUR_00023975 	 Q9BXJ5
OLUR_00024198 	 O75197
OLUR_00018386 	 Q28620
OLUR_00006268 	 Q7ZY86
OLUR_00018135 	 P13670
OLUR_00015004 	 Q5T4F7
OLUR_00000610 	 Q14B80
OLUR_00001977 	 Q9I931
OLUR_00001978 	 Q9I931
OLUR_00003103 	 Q8K1J6
OLUR_00003102 	 P79403
OLUR_00006534 	 Q9R0W9
OLUR_00010334 	 P35903
OLUR_00006494 	 Q06520
OLUR_00006493 	 Q3UZZ6
OLUR_00006326 	 Q5ZMS2
OLUR_00006574 	 Q9GZV8
OLUR_00002328 	 Q9UP79
OLUR_00011799 	 P31643
OLUR_00012270 	 P04634
OLUR_00024300 	 P54131
OLUR_00003469 	 Q80V70
OLUR_00003240 	 Q641A2
OLUR_00020812 	 Q8STF0
OLUR_00003726 	 Q5HZQ9
OLUR_00003725 	 Q0VFR9
OLUR_00005308 	 Q7REH6
OLUR_00001429 	 Q61603
OLUR_00015090 	 Q63186
OLUR_00006031 	 Q5R580
OLUR_00016233 	 Q6PFY8
OLUR_00013858 	 Q869W9
OLUR_00003502 	 Q9EQW7
OLUR_00012891 	 P46023
OLUR_00019546 	 Q9MZY0
OLUR_00000802 	 Q24248
OLUR_00019002 	 Q8R149
OLUR_00019779 	 P85969
OLUR_00005955 	 P62286
OLUR_00005956 	 P62296
OLUR_00011299 	 P15541
OLUR_00021591 	 Q7Z6M2
OLUR_00015519 	 Q5R5S1
OLUR_00022496 	 Q8TCB0
OLUR_00019963 	 P22892
OLUR_00018400 	 Q5RE15
OLUR_00006407 	 P22031
OLUR_00012207 	 O75382
OLUR_00012288 	 Q6GNY7
OLUR_00015911 	 P52786
OLUR_00013539 	 F7E540
OLUR_00015663 	 Q9VZW5
OLUR_00002088 	 O55192
OLUR_00002916 	 Q7PD79
OLUR_00012934 	 Q4R3Y4
OLUR_00010634 	 P82596
OLUR_00014867 	 Q80ZA4
OLUR_00005421 	 Q5R481
OLUR_00013739 	 Q61211
OLUR_00019372 	 P83425
OLUR_00012068 	 Q92626
OLUR_00019958 	 P15535
OLUR_00022514 	 P16112
OLUR_00011743 	 Q9UPV0
OLUR_00005161 	 Q5ZIG3
OLUR_00005162 	 Q6NUT3
OLUR_00019390 	 O43614
OLUR_00001480 	 Q9P283
OLUR_00021947 	 P57756
OLUR_00019641 	 O01393
OLUR_00019195 	 P35590
OLUR_00006885 	 A1A5V9
OLUR_00006884 	 D2GXS7
OLUR_00004550 	 Q5ZMH1
OLUR_00011788 	 Q96RS0
OLUR_00019816 	 Q9WUQ2
OLUR_00024246 	 Q9CZJ2
OLUR_00018877 	 Q2VIQ3
OLUR_00022518 	 Q96GP6
OLUR_00001649 	 Q6PFP6
OLUR_00001650 	 Q8IRC7
OLUR_00014065 	 P21520
OLUR_00008218 	 Q5TCS8
OLUR_00022552 	 Q6GM59
OLUR_00011646 	 P00126
OLUR_00007141 	 Q9VHD2
OLUR_00020411 	 P40197
OLUR_00020379 	 Q8K1N1
OLUR_00009355 	 Q6PDJ1
OLUR_00008839 	 Q6TH15
OLUR_00014953 	 Q65YR7
OLUR_00014954 	 P16157
OLUR_00000271 	 Q9QW30
OLUR_00000270 	 Q8NEE8
OLUR_00011805 	 B0G143
OLUR_00011396 	 D4AUF4
OLUR_00016875 	 P35501
OLUR_00006697 	 Q62318
OLUR_00024020 	 P27393
OLUR_00012039 	 Q8CDF7
OLUR_00008666 	 Q8VI63
OLUR_00008667 	 Q5ZKJ4
OLUR_00007080 	 Q2MV57
OLUR_00004611 	 Q6DG99
OLUR_00011520 	 Q86UT8
OLUR_00011521 	 Q9Y6R7
OLUR_00004726 	 Q6DGX3
OLUR_00009483 	 D3ZHS6
OLUR_00017479 	 P75080
OLUR_00004531 	 Q13057
OLUR_00005333 	 Q91WC7
OLUR_00020295 	 Q8WWZ8
OLUR_00006977 	 P42674
OLUR_00014458 	 P02711
OLUR_00013707 	 Q9P2Z0
OLUR_00008197 	 Q04786
OLUR_00003099 	 Q5F349
OLUR_00003098 	 Q95WA0
OLUR_00021974 	 P15941
OLUR_00021351 	 Q96MM6
OLUR_00009393 	 Q2PC93
OLUR_00014287 	 G3UYX5
OLUR_00000040 	 P10881
OLUR_00000039 	 Q6ZQQ6
OLUR_00005994 	 Q3U0L2
OLUR_00001364 	 P57080
OLUR_00001363 	 B5X1G3
OLUR_00000812 	 Q9NUV9
OLUR_00012227 	 Q6P2X9
OLUR_00009149 	 Q96GP6
OLUR_00018153 	 Q95JD5
OLUR_00023460 	 Q8K2J9
OLUR_00014835 	 P06868
OLUR_00006336 	 Q61184
